Title,Author,Year,Longitude,Latitude,Pages,Num Pages,DOI,Volume,Issue,Publisher
Global change effects on biogeochemical processes of Argentinian estuaries: an overview of vulnerabilities and ecohydrological adaptive outlooks,"Kopprio, G.A., Bianacalana, F., Fricke, A., Garzón Cardona, J.E., Martínez, A., Lara, R.J. ",2015,-63.616672,-38.416097,,554-562,10.1016/j.marpolbul.2014.08.021,91,2,Marine Pollution Bulletin 
Fatty acid composition of wild Odontesthes bonariensis (Valenciennes 1835) larvae: implications on lipid metabolism and trophic relationships,"Kopprio, G., Graeve, M., Kattner, G., Lara, R.J. ",2015,-63.616672,-38.416097,,752-755,10.1111/jai.12786,31,4,Journal of Applied Ichthyology 
Stable isotope and fatty acid markers in plankton assemblages of a saline lake: seasonal trends and future scenario. ,"Kopprio, G.A., Lara, R.J., Martínez, A., Fricke, A., Graeve, M., Kattner, G. ",2015,-92.902617,31.874492,,584-595,0.1093/plankt/fbv023,37,3,Journal of Plankton Research 
A revolution without people? Closing the people-policy gap in aquaculture development,"Krause, G., Brugere, C., Diedrich, A., Ebeling, M.W., Ferse, S.C.A., Mikkelsen, E., Pérez Agúndez, J.A., Stead, S.M., Stybel, N., Troell, M. ",2015,8.580516,53.533255,,44-55,10.1016/j.aquaculture.2015.02.009,447,,Aquaculture 
Colored ceramic foams with tailored pore size and surface functionalization used as spawning plates for fish breeding,"Kroll, S., Soltmann, C., Koch, D., Kegler, P., Kunzmann, A., Rezwan, K. ",2015,8.84598,53.106758,,15763-15773,10.1016/j.ceramint.2014.07.100,40,10,Ceramics International 
Airborne synthetic-aperture radar (SAR) imaging to help assess impacts of stationary fishing gear on the north Brazilian mangrove coast,"Krumme, U., Giarrizzo, T., Pereira, R., de Jesus, J., Schaub, C., Saint-Paul, U. ",2015,-51.92528,-14.235004,,939-95,1093/icesjms/fsu188,72,3,ICES Journal of Marine Science 
"Tidal, diel and lunar patterns in intertidal and subtidal mangrove creek fish assemblages from southwest Thailand","Krumme, U., Grinvalds, K., Zagars, M., Elferts, D., Ikejima, K., Tongnunui, P. ",2015,100.992541,15.870032,,1671-1693,10.1007/s10641-015-0393-5,98,6,Environmental Biology of Fishes 
"Context-oriented model validation of individual-based models in ecology: a hierarchically structured approach to validate qualitative, compositional and quantitative characteristics","Kubicek, A., Jopp, F., Breckling, B., Lange, C., Reuter, H. ",2015,8.84598,53.106758,,178-191,10.1016/j.ecocom.2015.03.005,22,,Ecological Complexity 
Technical note: drifting vs. anchored flux chambers for measuring greenhouse gas emissions from running waters. ,"Lorke, A., Bodmer, P., Noss, C., Alshboul, Z., Koschorreck, M., Somlai, C., Bastviken, D., Flury, S., McGinnis, D.F., Maeck, A., Müller, D., Premke, K. ",2015,8.84598,53.106758,,7013-7024,10.5194/bg-12-7013-2015,12,,Biogeosciences 
"Neglected treasures Linking Historical cartography with environmental changes in Java, Indonesia","Lukas, M.C. ",2015,106.822745,-6.174465,,141-162,10.3138/cart.50.3.2891,50,3,Cartographica 
Effects of episodic law aragonite saturation and elevated temperature on the physiology of Stylophora pistillata. ,"Lürig, M., Kunzmann, A. ",2015,8.84598,53.106758,,26-33,10.1016/j.seares.2015.01.005,99,,Journal of Sea Research 
A review of urban ecosystem services: six key challenges for future research,"Luederitz, C., Brink, E., Gralla, F., Hermelingmeier, V., Meyer, M., Niven, L., Panzer, L., Partelow, S., Rau, A.-L., Sasaki, R., Abson, D., Lang, D., Wamsler, C., von Wehrden, H. ",2015,10.40122,53.228844,,98-112,10.1016/j.ecoser.2015.05.001,14,,Ecosystem Services 
Feeding habits of the sea turtles Careta caretta and Lepidochelys olivacea in south-eastern Brazil. ,"Madeira di Beneditto, A.P., Fulgencio de Moura, J., Siciliano, S. ",2015,-51.92528,-14.235004,,,10.1017/S1755267215001001,8,,Marine Biodiversity Records 
The physiological response of two green calcifying algae from the Great Barrier Reef towards high Dissolved inorganic and organic carbon (DIC and DOC) availability,"Meyer, F.W., Vogel, N., Teichberg, M., Uthicke, S., Wild, C. ",2015,-14.235004,-51.92528,,,10.1371/journal.pone.0133596,10,8,PlosOne
Performance and physiological responses of combined t-bar and PIT tagged giant mud crabs (Scylla serrata). ,"Meynecke, J.-O., Mayze, J., Alberts-Hubatsch, H",2015,,,,212-216. ,10.1016/j.fishres.2015.06.013.,170,,Fisheries Research
"Molluscan assemblages under the influence of peat-draining rivers off East Sumatra, Indonesia. ","Michel, J., Wiemers, K., Samhudi, H., Westphal, H. ",2015,-51.92528,-14.235004,,81-94,10.1080/13235818.2015.1007493,35,2,Molluscan Research 
Changes to processes in estuaries and coastal waters due to intense multiple pressures -  an introduction and synthesis,"Mitchell, S., Jennerjahn, T., Vizzini, S., Zhang, W. ",2015,8.84598,53.106758,,1-6,10.1016/j.ecss.2014.12.027,156,,Estuarine Coastal and Shelf Science 
Submarine groundwater discharge from tropical islands: a review,"Moosdorf, N., Stieglitz, T., Waska, H., Dürr, H.H., Hatmann, J. ",2015,8.84598,53.106758,,53-67,10.1007/s00767-014-0275-3,20,1,Grundwasser 
Through bleaching and tsunami: coral reef recovery in the Maldives,"Morri, C., Montefalcone, M., Lasagna, R., Gatti, G., Rovere, A., Parravicini, V., Baldelli, G., Colantoni, P., Bianchi, C.N. ",2015,73.536101,1.977228,,188-200. ,10.1016/j.marpolbul.2015.06.050,98,2,Marine Pollution Bulletin 
Food for thought: Mathematical approaches for the conversion of high-resolution sclerochronological oxygen isotope records into sub-annually resolved time series,"Müller, P., Taylor, M., Klicpera, A., Wu, H., Michel, J., Westphal, H. ",2015,8.84598,53.106758,,763-776. ,10.1016/j.palaeo.2015.09.032,440,,"Palaeogeography, Palaeoclimatology, Palaeoecology "
Lateral carbon fluxes and CO2 outgassing from a tropical peat-draining river,"Müller, D., Warneke, T., Rixen, T., Müller, M., Jamahari, S., Denis, N., Mujahid, A., Notholt, J",2015,110.359213,1.553278,,5967-5979,10.5194/bgd-12-5967-2015,12,,Biogeosciences 
Fate of peat-derived carbon and associated CO2 and CO emissions from two Southeast Asian estuaries,"Müller, D., Warneke, T., Rixen, T., Müller, M., Mujahid, A., Bange, H.W., Notholt, J. ",2015,110.359213,1.553278,,8299-8340. ,  10.5194/bgd-12-8299-2015.,12,,Biogeosciences Discussions 
Drift logs are effective agents of physical coral fragmentation in a tropical eastern Pacific coral reef. ,"Muñoz, C.G., Wild, C., Zapata, F.A. ",2015,8.84598,53.106758,,205-206,10.5343/bms.2015.1004,91,,Bulletin of Marine Science 
"Monitoring of coastal coral reefs near Dahab (Gulf od Aqaba, Red Sea), indicates local eutrophication as potential cause for change benthic communities. ","Naumann, M.S., Bednarz, V.N., Ferse, S.C.A., Niggl, W., Wild, C. ",2015,34.513634,28.509135,,,10.1007/s10661-014-4257-9.,187,44,Environmental Monitoring Assessment 
Trophic ecology of two cold-water coral species from the Mediterranean Sea revealed by lipid biomarkers and compound-specific isotope analyses. ,"Naumann, M.S., Tolosa, I., Taviani, M., Grover, R., Ferrier-Pagès, C. ",2015,18.048011,34.553128,,1165-1175,10.1007/s00338-015-1325-8,34,4,Coral Reefs 
Coevolving Ostrom’s social-ecological systems (SES) framework and sustainability science: four key co-benefits,"Partelow, S. ",2015,8.84598,53.106758,,,10.1007/s11625-015-0351-3,11,3,Sustainability Science. 
A modified diagnostic social-ecological system framework for lobster fisheries: case implementation and sustainability assessment in Southern California. ,"Partelow, S., Boda, C. ",2015,-116.419389,34.959208,,204-217,10.1016/j.ocecoaman.2015.06.022,114,,Ocean and Coastal Management 
Pollution exposure on marine protected areas: a global assessment. ,"Partelow, S., von Wehrden, H., Horn, O. ",2015,8.84598,53.106758,,352-358. ,10.1016/j.marpolbul.2015.08.026.,100,1,Marine Pollution Bulletin 
Population genetic structure of the South American Bryde’s whale,"Pastene, L.A., Acevedo J., Siciliano, S., Sholl, T.G.C., de Moura, J.F., Ott, P.H., Aguayo-Lobo, A. ",2015,-55.491477,-8.783195,,453-464,,50,3,Revista de Biología Marina y Oceanografia 
Modelling the interactive effects of selective fishing and environmental change on Atlantic salmon demogenetics. ,"Piou, C., Taylor, M.H., Papaix, J., Prévost, E. ",2015,15.255119,54.525961,,1629-1637,10.1111/1365-2664.12512,52,,Journal of Applied Ecology 
 Fish herbivory as key ecological function in a heavily degraded coral reef system. ,"Plass-Johnson, J.G.,  Ferse, S.C.A., Jompa, J., Wild, C., Teichberg, M. ",2015,119.432731,-5.147665,,1382-1391,10.1002/lno.10105,60,4,Limnology and Oceanography
"The effects of tissue type and body size on d13C and d15N values in parrotfish (Labridae) from Zanzibar, Tanzania","Plass-Johnson, J.G., McQuaid, C.D., Hill, J.M",2015,34.888822,-6.369028,,633-637,10.1111/jai.12746,31,,Journal of Applied Ichthyology 
"A recent outbreak of crown-of-thorns starfish (Acanthaster planci) in the Spermonde Archipelago, Indonesia","Plass-Johnson, J., Schwieder, H., Heiden, J., Weiand, L., Wild, C., Jompa, J., Ferse, S.C.A., Teichberg, M. ",2015,106.840204,-6.224587,,1157-1162,10.1007/s10113-015-0821-2.,15,,Regional Environmental Change 
"Littoral forest composition and influence of soil characteristics on vegetation succession in the tsunami impacted coastal habitats of Nicobar Islands, India","Prabakaran, N., Paramasivam, B. ",2015,78.96288,20.593684,,1-17,,1,,Journal of Island Ecology 
Artificial crab burrows facilitate desalting of rooted mangrove sediment in a microcosm study,"Pülmanns, N., Nordhaus, I., Diele, K., Mehlig, U. ",2015,-58.37169,-2.095318,,539-559,10.3390/jmse3030539,3,,Journal of Marine Science and Engineering 
 Histopathology of crustose coralline algae affected by white band and white patch diseases,"Quéré, G., Meistertzheim, A.-L., Steneck, R. S., & Nugues, M. M. ",2015,-61.407672,10.693395,,,10.7717/peerj.1034,3,,PeerJ 
Coralline algae disease reduces survival and settlement success of coral planulae in laboratory experiments. ,"Quéré, G., Nugues, M.M. ",2015,8.84598,53.106758,,863-870,10.1007/s00338-015-1292-0,34,3,Coral Reefs 
Spatiotemporal and species-specific patterns of diseases affecting crustose coralline algae in Curaçao,"Quéré, G., Steneck, R.S., Nugues, M.M. ",2015,-68.99002,12.16957,,259-273,10.1007/s00338-014-1225-3,34,1,Coral Reefs 
Nitrogen cycling in corals: the key to understanding holobiont functioning? ,"Rädecker, N., Pogoreutz, C., Voolstra, C.R., Wiedemann, J., Wild, C. ",2015,8.84598,53.106758,,490-497,10.1016/j.tim.2015.03.008,23,8,Trends in Microbiology 
"Distribution, sources and biogeochemistry of organic matter in a mangrove dominated estuarine system (Indian Sundarbans) during the pre-monsoon","Ray, R., Rixen, T., Baum, A., Malik, G., Gleixner, G., Jana, T.K. ",2015,78.96288,20.593684,,404-413,10.1016/j.ecss.2015.10.017,167,,"Estuarine, Coastal and Shelf Science "
Seasonality in dinitrogen fixation and primary productivity by coral reef framework substrates from the northern Red Sea. ,"Rix, L., Bednarz, V.N., Cardini, U., van Hoytema, N., Al-Horani, F.A., Wild, C., Naumann, M.S. ",2015,38.5126,20.280232,,79-92, 10.3354/meps11383,533,,Marine Ecology Progress Series 
Microbiome structure of the fungid coral Ctenactis echinata aligns with environmental differences. ,"Roder, C., Bayer, T., Aranda, M., Kruse, M., Voolstra, C.R. ",2015,8.84598,53.106758,,3501-3511,10.1111/mec.13251,24,13,Molecular Ecology 
"Holocene benthic foraminiferal assemblages indicate long-term marginality of reef habitats from Moreton Bay, Australia","Roshni Narayan, Y., Lybolt, M., Zhao, J., Feng, Y., Pandoldi, J.M. ",2015,153.344665,-27.312395,,49-64,10.1016/j.palaeo.2014.12.010,420,,"Palaeogeography, Palaeoclimatology, Palaeoecology "
Effects of simulated overfishing on the succession of benthic algae invertebrates in an upwelling-influenced coral reef of Pacific Costa Rica,"Roth, F., Stuhldreier, I., Sánchez-Noguera, C., Morales-Ramírez, À., Wild, C. ",2015,-83.753428,9.748917,,55-66,10.1016/j.jembe.2015.03.018,468,,Journal of Experimental Marine Biology and Ecology 
Mid-Pliocene shorelines of the US Atlantic coastal plain – an improved elevation database with comparison to earth model predictions,"Rovere, A., Hearty, P.J., Austermann, A., Mitrovica, J.X., Gale, J., Moucha, R., Forte, A.M., Raymo, M.E. ",2015,-95.712891,37.09024,,117-131,10.1016/j.earscrev.2015.02.007,145,,Earth-Science Reviews 
Extensive phenotypic plasticity of a Red Sea coral over a strong latitudinal temperature gradient suggests limited acclimatization potential to warming,"Sawall, Y., Al-Sofyani, A., Hohn, S., Banguera-Hinestroza, E., Voolstra, C.R., Wahl, M. ",2015,38.512573,20.280232,,,10.1038/srep08940,5,,Scientific Reports
Flowers and an honor box: evidence on framing effects,"Schlüter, A., Vollan, B. ",2015,8.84598,53.106758,,186-199,10.1016/j.socec.2014.10.002,57,,Journal of Behavioral and Experimental Economics 
 Depoliticised and technocratic? Normativity and the politics of transformative adaptation,"Schulz, K., Siriwardane, R. ",,,,,,,33,,Earth System Governance Working Paper 
Differences in food web structure of mangroves and freshwater marshes: evidence from stable isotope studies in the southern Gulf of Mexico,"Sepúlveda-Lozada, A., Mendoza-Carranza, M., Wolff, M., Saint-Paul, U., Ponce-Mendoza, A. ",2015,-102.552784,23.634501,,293-314,10.1007/s11273-014-9382-2,23,2,Wetlands Ecology and Management 
Population dynamics of an invasive population of Mosquitofish Gambusia affinis in a temperate estuarine lake system.,"Sloterdijk, H., James, N.C., Smith, M.K.S., Ekau, W., Weyl, O.L.F. ",2015,22.937506,-30.559482,,31-40,,50,1,African Journal of Zoology 
Physiological and ecological performance differs in four coral taxa at a volcanic carbon dioxide seep. ,"Strahl, J., Stolz, I., Uthicke, S., Vogel, N., Noonan, S.H.C., Fabricius, K.E. ",2015,143.95555,-6.314993,,179-186,10.1016/j.cbpa.2015.02.018,184,,Comparative Biochemistry and Physiology
"Effects of simulated eutrophication and overfishing on algae and invertebrate settlement in a coral reef of Koh Phangan, Gulf of Thailand. ","Stuhldreier, I., Bastian, P., Schönig, E., Wild, C. ",2015,100.992541,15.870032,,35-44 ,10.1016/j.marpolbul.2015.01.007,92,2,Marine Pollution Bulletin 
Effects of seasonal upwelling on inorganic and organic matter dynamics in the water column of eastern Pacific coral reefs,"Stuhldreier, I., Sánchez-Noguera, C., Rixen, T., Cortés, J., Morales, A., Wild, C",2015,-83.753428,9.748917,,,10.1371/journal.pone.0142681,10,11,Plos One 
Upwelling increases net primary production of corals and reef-wide gross primary production along the Pacific coast of Costa Rica,"Stuhldreier, I., Sánchez-Noguera, C., Roth, F., Cortés, J., Rixen, T., Wild, C. ",2015,-83.753428,9.748917,,,10.103389/fmars.2015.00113,2,,Frontiers in Marine Science 
Dynamics in benthic community composition and influencing factors in an upwelling-exposed coral reef on the Pacific coast of Costa Rica,"Stuhldreier, I., Sánchez-Noguera, C., Roth, F., Jiménez, C., Rixen, T., Cortés, J., Wild, C. ",2015,-83.753428,9.748917,,,10.7717/peerj.1434,3,,PeerJ 
 Wind forcing controls on river plume spreading on a tropical continental shelf,"Tarya, A.,van der Vegt, M., Holtink, A.J.F",2015,106.840204,-6.224587,,16-35,10.1002/2014JC010456,120,,Journal of Geophysical Research: Oceans 
"Stock assessment of fishery target species in Lake Koka, Ethiopia","Tesfaye, G., Wolff, M. ",2015,39.033333,8.433333,,755-770,10.15517/rbt.v63i3.16715,63,3,Revista de Biología Tropical 
"The sediment load and deposition by river discharge and their relation to organochloride pesticides pollutants in the sediment bottom of Nha Trang Bay, Vietnam","Trung Du, H., Kunzmann, A. ",2015,109.306943,12.260033,,455-466,10.1007/s12601-015-0041-1.,50,2,Ocean Science Journal 
Envolving trends in the Kenyan artisanal reef fishery and its implications for fisheries management,"Tuda, P.M., Wolff, M. ",2015,37.906193,-0.023559,,36-44,10.1016/.ocecoaman.2014.11.016,104,,Ocean and Coastal Management 
Severity of ocean acidification following the end-Cretaceous asteroid impact,"Tyrrell, T., Merico, A., Armstrong McKay, D.I. ",2015,8.84598,53.106758,,6556-6561,10.1073/pnas.1418604112,112,21,Proceedings of the National Academy of Sciences 
Calcareous green alga Halimeda tolerates ocean acidification conditions at tropical carbon dioxide seeps,"Vogel, N., Fabricius, K.E., Strahl, J., Noonan, S.H.C., Wild, C., Uthicke, S. ",2015,150.866751,-9.753881,,263-275. ,10.1002/lno.10021,60,,Limnology and Oceanography 
Decreased light availability can amplify negative impacts of ocean acidification on calcifying coral reef organisms,"Vogel, N., Meyer, F., Wild, C., Uthicke, S. ",2015,8.84598,53.106758,,49-61,10.3354/meps11088,521,,Marine Ecology Progress Series 
Ways forward for aquatic conversation: applications of environmental psychology to support management objectives. ,"Walker-Springett, K., Jefferson, R., Böck, K., Breckwoldt, A., Comby, E., Cottet, M., Hübner, G., Le Lay, Y.-F., Shaw, S., Wyles, K. ",2015,8.84598,53.106758,,525-536,10.1016/j.jenvman.2015.11.002,166,,Journal of Environmental Management 
Missing nitrogen fixation in the Benguela region. ,"Wasmund, N., Struck, U., Hansen, A., Flohr, A., Nausch, G., Grüttmüller, A., Voss, M. ",2015,18.49041,-22.95764,,30-41,10.1016/j.dsr.2015.10.007,106,,Deep-Sea Research 
Can institutional change theories contribute to the understanding of marine protected areas? ,"Weber de Morais, G., Schlüter, A. ",2015,8.84598,53.106758,,154-162,10.1016/j.gloenvcha.2015.01.008,31,,Global environmental change 
Functionalised ceramic spawning tiles with probiotic Pseudoalteromonas biofilms designed for clownfish aquaculture,"Wesseling, W., Wittka, S., Kroll, S., Soltmann, C., Kegler, P., Kunzmann, A., Riss, H.W., Lohmeyer, M. ",2015,8.84598,53.106758,,57-66,10.1016/j.aquaculture.2015.04.017,446,,Aquaculture
Diagenesis makes the impossible come true: intersecting beds in calcareous turbidites,"Westphal, H., Lavi, J., Munnecke, A. ",2015,8.84598,53.106758,,,10.1007/s10347-015-0427-7,61,3,Facies
"Identifying Sumatran peat swamp fish larvae through DNA barcoding, evidence of complete life history pattern","Wibowo, A., Sloterdijk, H., Saint-Paul, U. ",2015,101.343106,-0.589724,,,10.1016/j.proche.2015.03.012,14,,Prodecia Chemistry 
"A carbonate platform associated with shallow cold methane seeps in Golfo Dulce, Pacific Costa Rica","Wild, C., Rixen, T., Sanchez-Noguera, C., Merico, A., Jimenez, C., Cortés, J., Naumann, M.S. ",2015,-83.753428,9.748917,,13-14,10.3755/galaxea.17.13,17,1,Galaxea 
The impact of disturbed peatlands on river outgrassing in Southeast Asia,"Wit, F., Müller, D., Baum, A., Warneke, T., Pranowo, W.S., Müller, M., Rixen, T. ",2015,113.921327,-0.789275,,,10.1038/ncomms10155,6,,Nature Communications 
"Microstructural analyses of sedimentary Halimeda segments from the Spermonde Archipelago (SW Sulawesi, Indonesia): a new indicator for sediment transport in tropical reef islands? ","Wizemann, A., Mann, T., Klicpera, A., Westphal, H. ",2015,120.5279,-1.8479,,,10.1007/s10347-015-0429-5,61,4,Facies
Ocean acidification alters the calcareous microstructure of the green macro-alga Halimeda opuntia,"Wizemann, A., Meyer, F.W., Hofmann, L.C., Wild, C., Westphal, H",2015,8.84598,53.106758,,941-954,10.1007/s00338-015-1288-9,34,3,Coral Reefs 
From sea sparing to sea sharing- is there a paradigm shift in ocean management?,"Wolff, M. ",2015,8.84598,53.106758,,58-63,10.1016/j.ocecoaman.2015.07.004,116,,Ocean and Coastal Management 
Implications of using small meshed gillnets for the sustainability of fish populations: a theoretical exploration based on three case studies. ,"Wolff, M., Taylor, M.H., Tesfaye, G. ",2015,8.84598,53.106758,,379-387,10.1111/fme.12137,22,,Fisheries Management and Ecology 
A capital-based framework for assessing coastal and marine social-ecological dynamics and natural resource management: a case study of Penghu archipelago,"Wu, C.-C., Tsai, H.-M. ",2015,119.579316,23.57119,,60-68,10.1016/j.imic.2014.10.001,3,2,Journal of Marine and Island Cultures 
 The phytal fauna of the SW Baltic Sea and its importance as reservoir for fish prey,"Zander, C.D., Rupp, K., Böhme, K., Brix, S., Detloff, K.C., Melander, J., Nordhaus, I., Schiro, C. ",2015,19.863281,58.487952,,33-51.,,15,2,Bulletin of Fish Biology 
"Catch, bycatch and discards of the Galapagos Marine Reserve small-scale handline fishery","Zimmerhackel, J.S., Schuhbauer, A.C., Usseglio, P., Heel, L.C., Salinas-de-León, P. ",2015,8.84598,53.106758,,,10.7717/peerj.995,3,,PeerJ
A glimpse into the future composition of marine phytoplankton communities. ,"Acevedo-Trejos, E., Brandt, G., Steinacher, M., Merico, A",2015,8.84598,53.106758,,,10.3389/fmars.2014.00015,7,1,Frontiers in Marine Science 
"First report of sponge rhaxes in the picún leufú formation (Tithonian-Berriasian), Neuquén Basin, Argentina","Af_ar, F., Duda, J.-P., Zeller, M., Verwer, K., Westphal, H., Eberli, G.P. ",2014,-63.616672,-38.416097,,49-56,,77,,Göttingen Contributions to Geosciences 
How facies and diagenesis affect fracturing of limestone beds and reservoir permeability in limestone-marl alternations,"Af_ar , F., Westphal, H., Philipp, S.L. ",2014,-3.435973,55.378051,,418-432,10.1016/j.marpetgeo.2014.05.024,57,,Marine and Petroleum Geology 
"Microhabitat use of early benthic stage mud crabs, Scylla serrata (Forskal, 1775), in eastern Australia","Alberts-Hubatsch, H., Lee, S.Y., Diele, K., Wolff, M., Nordhaus, I. ",2014,133.775136,-25.274398,,,10.1163/1937240x-00002256,34,5,Journal of Crustacean Biology
"The past and present of an estuarine-resident fish, the “four-eyed fish” Anableps anableps (Cyprinodontiformes, Anablepidae), revealed by mtDNA sequences. ","Almeida Watanabe, L., Vallinoto, M., Asp Neto, N., Muriel-Cunha, J., Saint-Paul, U., Schneider, H., Sampaio, I. ",2014,-51.92528,-14.235004,,,10.1371/journal.pone.0101727,9,7,Plos One 
Trophic flow structure of the Danajon ecosystem (Central Philippines) and impacts of illegal and destructive fishing practices. Journal of Marine Systems ,"Bacalso, R.T.M., Wolff, M. ",2014,121.774017,12.879721,,103-118,10.1016/j.jmarsys.2014.05.014.,139,,Journal of Marine Systems 
Human and wildlife usage of a protected area buffer zone in an area of high immigration,"Bamford, A., Ferrol-Schulte, D., Wathan, J. ",2014,34.888822,-6.369028,,504-513,10.1017/S0030605313000215,48,4,Oryx
"Influence of hydrologic and anthropogenic factors on the abundance variability of enteropathogens in the Ganges estuary, a cholera endemic region","Batabyal, P., Einsporn, M.H., Mookerjee, S., Palit, A., Neogi, S.B., Nair, G.B., Lara, R.J. ",2014,87.854976,22.986757,,154-161,10.1016/j.scitotenv.2013.10.093,472,,Science of the Total Environment 
"High prevalence of toxin producing enteropathogenic Vibrios among estuarine crab in Ganges delta of West Bengal, India","Batabyal, P., Mookerjee, S., Einsporn, M.H., Lara, R.J., Palit, A. ",2014,87.854976,22.986757,,359-361,10.1016/j.meegid.2014.06.001,26,,Infection Genetics and Evolution 
"Dissolved inorganic nitrogen and phosphate in the human affected blackwater river Siak, Central Sumatra, Indonesia","Baum, A., Rixen, T. ",2014,105.268436,-5.11253,,13-24,,11,1,Asian Journal of Water Environment and Pollution 
"Spatial and temporal distribution of the invasive lionfish Pterois volitans in coral reefs of Tayrona National Natural Park, Colombian Caribbean","Bayraktarov, E., Alarcón-Moscoso, J., Polanco, F. A., Wild, C",2014,-80.945078,34.050356,,,10.7717/peerj.397,2,,PeerJ
The physical environment in coral reefs of the Tayrona National Natural Park (Colombian Caribbean) in response to seasonal upwelling,"Bayraktarov, E., Bastidas-Salamanca, M.L., Wild, C. ",2014,-80.945078,34.050356,,137-157. ,,43,1,Boletín de Investigaciones Marinas y Costera 
"Spatiotemporal variability of sedimentary organic matter supply and recycling processes in coral reefs of Tayrona National Natural Park, Colombian Caribbean","Bayraktarrov, E., Wild, C. ",2014,-80.945078,34.050356,,2977-2990. ,10.5194/bg-11-2977-2014,11,,Biogeosciences 
"Spatial and temporal variability of water quality in the coral reefs of Tayrona National Natural Park, Colombian Caribbean. ","Bayraktarov, E., Pizarro, V., Wild, C",2014,-80.945078,34.050356,,3641-3659,10.1007/s10661-014-3647-3.,186,6,Environmental Monitoring Assessment 
Late holocene primary productivity and sea surface temperature variations in the northeastern Arabian Sea: implications for winter monsoon variability,"Böll, A., Lückge, A., Munz, P., Forke, S., Schulz, H., Ramaswamy, V., Rixen, T., Gaye, B., Emeis, K.-C. ",2014,64.33717,12.250151,,778-794,10.1002/2013PA002579,29,8,Paleoceanography
Demographic parameters of two populations of red coral (Corallium rubrum L. 1758) in the North Western Mediterranean,"Bramanti, L., Vielmini, I., Rossi, S., Tsounis, G., Iannelli, M., Cattaneo-Vietti, R., Priori, C., Santangelo, G",2014,3.315836,42.318913,,1015-1026,10.1007/s00227-013-2383-5,161,5,Marine Biology 
The future of the northeast Atlantic benthic flora in a high CO2 world. Ecology and Evolution ,"Brodie, J., Williamson, C.J., Smale, D.A., Kamenos, N.A., Mieszkowska, N., Santos, R., Cunliffe, M., Steinke, M., Yesson, , Donohue, P.S., Harvey, B., Foggo, A., Noisette, F., ",2014,8.84598,53.106758,,2787-2798,10.1002/ece3.1105,4,13,Ecology and Evolution 
Benthic N2 fixation in coral reefs and the potential effects of human-induced environmental change,"Cardini, U., Bednarz, V.N., Foster, R.A., Wild, C. ",2014,8.84598,53.106758,,1706-1727,10.1002/ece3.1050.,4,2,Ecology and Evolution 
Study of wave runup using numerical models and low-altitude aerial photogrammetry: a tool for coastal management,"Casella, E., Rovere, A., Pedroncini, A., Mucerino, L., Casella, M., Cusati, L.A., Vacchi, M., Ferrari, M., Firpo, M. ",2014,8.84598,53.106758,,160-167,10.1016/j.ecss.2014.08.012.,149,,"Estuarine, Coastal and Shelf Science "
Long-term stability of tidal and diel-related patterns in mangrove creek fish assemblages in north Brazil,"Castellanos-Galindo, G.A., Krumme, U",2014,-58.37169,-2.095318,,264-272,10.1016/j.ecss.2014.08.016,149,,"Estuarine, Coastal and Shelf Science "
Evolution of the Indian summer monsoon and terrestrial vegetation in the Bengal region during the past 18 ka. ,"Contreras-Rosales, L.A., Jennerjahn, T., Tharammal, T., Meyer, V., Paul, A., Lückge, A., Schefuß, E",2014,87.854976,22.986757,,133-148,10.1016/j.quascirev.2014.08.010,102,,Quaternary Science Reviews 
"A combined chemical and biological assessment of industrial contamination in an estuarine system in Kerala, India","Dsikowitzky, L., Nordhaus, I., Sujatha, C.H., Akhil, P.S., Soman, K., Schwarzbauer, J. ",2014,76.271083,10.850516,,485-486,10.1016/j.scitotenv.2014.03.034,348,62,Science of the Total Environment 
The Manx shearwater (Puffinus puffinus) as a candidate sentinel of Atlantic ocean health,"Duarte Cardoso, M., Fulgencio de Moura, J., Tavares, D..C., Gonçalves, R.A., Colabuono, F.I., Roges, E.M., Laine de Souza, R., Dos Prazeres Rodrigues, D., Monotone, R.C., Siciliano, S. ",2014,-40.308863,-19.183423,,,10.1186/2046-9063-10-6,10,6, Aquatic Biosystems 
"Benthic primary production in an upwelling-influenced coral reef, Colombian Caribbean","Eidens, C., Bayraktarov, E., Hauffe, T., Pizarro, V., Wilke, T., Wild, C. ",2014,-74.297333,4.570868,,,10.7717/peerj.554,2,,PeerJ
Spatial and temporal variability of benthic primary production in upwelling-influenced Colombian Caribbean coral reefs,"Eidens, C., Bayraktarov, E., Pizarro, V., Wilke, T., Wild, C. ",2014,-74.297333,4.570868,,,10.7287/peerj.preprints.258v1,2,,PeerJ
"Patron-client relationships, livelihoods and natural resource management in tropical coastal communities","Ferrol-Schulte, D., Ferse, S., Glaser, M. ",2014,39.202641,-6.165917,,63-73,10.1016/j.ocecoaman.2014.07.016,100,,Ocean and Coastal Management 
To cope or to sustain? Eroding long-term sustainability in an Indonesian coral reef fishery. ,"Ferse, S.C.A., Glaser, M., Neil, M., Schwerdtner Mañez, K. ",2014,113.921327,-0.789275,,2053-2065. ,10.1007/s10113-012-0342-1,14,6,. Regional Environmental Change 
